English comment,Level 1,Level 2,Level 3
only two days door to door garbage pick up auto tipper has arrived at sohan ganj in ward why did the auto tipper come to the ward from 01 02 2019 to 22 022019 be told and ,,solid waste management swm,garbage lorry not reported for service lorry not covered
ensured its regular visits to the wards and corporation schools located in the wards every day go ,civic,municipal corporation council related,municipal corporation related municipal corporation council related civic
hotels motels restaurants and banquets by the area s health department how many halls in the past year licenses issued be told ,health,infrastructure health,health infrastructure related
ward dispensary should be inaugurated on 01 03 2019 ,civic,license civic,unauthorised workshop or garage
gobar gas plant in ward has been closed the situation should be informed ,civic,miscellaneous issues in civic,electricity related miscellaneous issues in civic civic
by when will led lights be installed in bhalswa dairy ward be told ,civic,roads,street lighting
in the green belt in front of b block house no 123 in wad tubewells are bad for the last three months even after complaining it was not corrected this should be ensured as early as possible ,civic,miscellaneous issues in civic,nuisance due to stray dogs monkeys etc 
the illegal hawks of meat and chicken on the main road located in the ward should be removed at the earliest ,,solid waste management swm,garbage not lifted from road authorised collection point
pump house should be arranged for bhalswa dairy located in the ward ,civic,water supply,providing water tap and hand pumps
the construction of the lane from ward to c 51 to c 100 was carried out in the year 2014 but till now the street was not built the contractor was broken into and left the street two months ago this street was built in a grand manner go ,civic,roads,street lighting
bad street lights located in the ward should be repaired at the earliest ,civic,roads,street lighting
ensured e rickshaw type auto tipper for lifting garbage from narrow streets located in the ward go ,,solid waste management swm,garbage not lifted from road authorised collection point
the number of sanitation workers should be increased in the ward ,health,health related issues,health service related
the work of installing led lights in the ward has been closed for the last one month mp fund fund how long will 10 pillars and highmost lights be installed for installing lights be told ,,solid waste management swm,garbage lorry not reported for service lorry not covered
